session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2021-01-05,2021-01-06,CE,14000,2021-01-07,75,70.0,14197.9,14165.34,14202.3,14239.3,216.0,230.85,True,16200.0,79.5,1034.25
2021-01-25,2021-01-27,PE,14450,2021-01-28,75,24.8,14240.6,14303.38,14227.7,14166.7,224.85,288.35,True,16863.75,85.35,4677.15
2021-01-29,2021-02-01,PE,13800,2021-02-04,75,27.4,13630.1,13764.81,13613.4,13736.1,295.0,210.25,True,22125.0,81.46,-6437.71
2021-02-01,2021-02-02,CE,14050,2021-02-04,75,70.7,14268.9,14199.2,14262.2,14573.6,285.65,518.35,True,21423.75,109.92,17342.58
2021-02-03,2021-02-04,PE,15000,2021-02-04,75,29.4,14769.7,14828.7,14777.1,14778.7,242.5,237.25,True,18187.5,81.42,-475.17
2021-02-09,2021-02-10,PE,15300,2021-02-11,75,28.8,15100.2,15187.84,15096.6,15154.6,234.55,196.2,True,17591.25,77.17,-2953.42
2021-03-03,2021-03-04,CE,15050,2021-03-04,75,72.8,15239.0,15176.94,15241.9,15026.2,206.65,45.0,True,15498.75,61.59,-12185.34
2021-03-15,2021-03-16,CE,14750,2021-03-18,75,79.9,14953.1,14849.98,14939.9,14984.4,276.9,271.1,True,20767.5,86.28,-521.28
2021-03-17,2021-03-18,PE,14900,2021-03-18,75,20.5,14710.3,14789.41,14701.1,14851.1,192.6,129.0,True,14445.0,68.79,-4838.79
2021-03-19,2021-03-22,CE,14550,2021-03-25,75,75.7,14771.2,14696.58,14741.9,14665.7,319.65,259.25,True,23973.75,87.27,-4617.27
2021-04-30,2021-05-03,PE,14850,2021-05-06,75,25.8,14639.0,14706.57,14636.0,14452.2,277.6,394.45,True,20820.0,97.89,8665.86
2021-05-17,2021-05-18,CE,14700,2021-05-20,75,70.8,14916.0,14888.63,14915.9,15107.1,255.7,403.55,True,19177.5,97.69,10991.06
2021-05-21,2021-05-24,CE,14950,2021-05-27,75,73.8,15169.7,15138.38,15172.7,15227.6,291.8,280.75,True,21885.0,87.92,-916.67
2021-06-02,2021-06-03,CE,15350,2021-06-03,75,78.1,15570.8,15519.7,15571.1,15656.1,225.55,297.55,True,16916.25,86.24,5313.76
